AI active || my color >> R opp color: G
level search: 4 optimal move : 7 7 time elapsed: 0
level search: 5 optimal move : 7 7 time elapsed: 0.001
level search: 6 optimal move : 7 7 time elapsed: 0.001
level search: 7 optimal move : 7 7 time elapsed: 0.002
level search: 8 optimal move : 7 7 time elapsed: 0.003
level search: 9 optimal move : 7 7 time elapsed: 0.004
level search: 10 optimal move : 7 7 time elapsed: 0.004
level search: 11 optimal move : 7 7 time elapsed: 0.005
level search: 12 optimal move : 7 7 time elapsed: 0.006
level search: 4 optimal move : 0 7 time elapsed: 0.24
level search: 4 optimal move : 7 6 time elapsed: 0.22
level search: 4 optimal move : 7 2 time elapsed: 0.213
level search: 4 optimal move : 6 7 time elapsed: 0.195
level search: 5 optimal move : 7 6 time elapsed: 1.818
level search: 4 optimal move : 0 7 time elapsed: 0.343
level search: 5 optimal move : 6 7 time elapsed: 2.889
level search: 4 optimal move : 0 7 time elapsed: 0.225
level search: 5 optimal move : 7 2 time elapsed: 2.29
level search: 4 optimal move : 0 7 time elapsed: 0.482
level search: 4 optimal move : 7 2 time elapsed: 0.369
level search: 4 optimal move : 7 2 time elapsed: 0.275
level search: 5 optimal move : 7 5 time elapsed: 2.883
level search: 4 optimal move : 7 2 time elapsed: 0.209
level search: 5 optimal move : 7 2 time elapsed: 2.736
level search: 4 optimal move : 6 0 time elapsed: 0.191
level search: 5 optimal move : 3 0 time elapsed: 2.446
level search: 4 optimal move : 6 0 time elapsed: 0.179
level search: 5 optimal move : 2 0 time elapsed: 2.417
level search: 4 optimal move : 6 0 time elapsed: 0.178
level search: 5 optimal move : 1 0 time elapsed: 2.359
level search: 4 optimal move : 6 0 time elapsed: 0.156
level search: 5 optimal move : 6 6 time elapsed: 2.435
level search: 4 optimal move : 6 0 time elapsed: 0.206
level search: 5 optimal move : 6 3 time elapsed: 2.58
level search: 4 optimal move : 7 6 time elapsed: 0.14
level search: 5 optimal move : 7 6 time elapsed: 1.064
level search: 4 optimal move : 6 7 time elapsed: 0.219
level search: 5 optimal move : 6 7 time elapsed: 2.836
level search: 4 optimal move : 7 7 time elapsed: 0.137
level search: 5 optimal move : 7 7 time elapsed: 1.116
level search: 4 optimal move : 7 6 time elapsed: 0.128
level search: 5 optimal move : 7 6 time elapsed: 1.025
level search: 4 optimal move : 7 4 time elapsed: 0.137
level search: 5 optimal move : 7 4 time elapsed: 1.841
level search: 4 optimal move : 7 4 time elapsed: 0.405
level search: 5 optimal move : 7 4 time elapsed: 1.375
level search: 4 optimal move : 6 5 time elapsed: 0.154
level search: 5 optimal move : 6 5 time elapsed: 1.338
level search: 4 optimal move : 6 6 time elapsed: 0.131
level search: 5 optimal move : 7 7 time elapsed: 1.014
level search: 4 optimal move : 6 2 time elapsed: 0.133
level search: 5 optimal move : 6 2 time elapsed: 1.124
level search: 4 optimal move : 6 7 time elapsed: 0.126
level search: 5 optimal move : 6 7 time elapsed: 1.182
level search: 4 optimal move : 4 7 time elapsed: 0.165
level search: 5 optimal move : 4 7 time elapsed: 1.607
level search: 4 optimal move : 3 7 time elapsed: 0.139
level search: 5 optimal move : 7 4 time elapsed: 1.381
level search: 4 optimal move : 7 4 time elapsed: 0.177
level search: 5 optimal move : 7 4 time elapsed: 1.088
level search: 4 optimal move : 3 7 time elapsed: 0.425
level search: 4 optimal move : 7 7 time elapsed: 0.084
level search: 5 optimal move : 7 7 time elapsed: 0.716
level search: 4 optimal move : 1 7 time elapsed: 0.253
